condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,D,187,41,29,56.241,78.577,80.24,5,
long,D,191,87,76,17.165,23.989,63.191,6,
long,D,195,9,0,13.511,21.908,26.501,3,
long,D,197,86,70,14.154,29.69,30.035,6,good voice
long,D,199,72,40,6.98,25.364,29.049,5,
long,D,203,59,43,31.314,38.429,40.212,2,
long,D,205,76,57,9.94,25.176,29.22,3,
long,D,215,91,80,31.051,45.263,46.663,4,audio is very clear
long,D,216,79,78,52.764,54.959,63.962,3,audio is very clear
long,D,217,42,6,74.808,76.718,78.429,2,
long,D,218,56,55,28.74,31.866,33.194,2,
